release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
95.0,-1.28,5.04,53.94,51.7,94.9,2218,6.6,Sinker
91.4,-1.36,4.91,53.67,78.9,92.2,1688,6.8,Changeup
95.9,-1.37,4.94,53.83,96.1,96.2,2166,6.7,Sinker
85.7,-1.63,4.96,53.94,69.1,85.6,2521,6.6,Sweeper
95.7,-1.26,5.04,53.9,81.4,95.7,2318,6.6,Sinker
95.8,-1.24,5.32,53.87,80.6,95.4,2112,6.6,4-Seam Fastball
89.6,-1.24,4.96,53.73,108.8,90.3,1940,6.8,Changeup
89.2,-1.37,5.04,53.73,98.9,90.1,2137,6.8,Slider
97.6,-0.98,5.3,53.78,93.8,97.9,2143,6.7,4-Seam Fastball
95.1,-1.46,5.13,53.98,68.5,95.0,2333,6.5,Sinker
95.0,-1.21,5.11,53.86,77.7,95.0,2306,6.6,Sinker
85.3,-1.35,5.0,54.01,87.8,84.5,2450,6.5,Sweeper
84.3,-1.47,5.0,53.98,77.3,84.3,2399,6.5,Sweeper
94.8,-1.13,5.2,53.86,77.7,94.9,2184,6.6,Sinker
95.2,-1.23,5.16,53.84,110.6,94.9,2133,6.7,4-Seam Fastball
96.7,-1.41,4.98,53.7,101.0,97.0,2361,6.8,Sinker
94.6,-1.35,4.95,53.72,93.5,94.7,2224,6.8,Sinker
95.3,-1.35,5.16,53.77,97.3,95.5,2193,6.7,4-Seam Fastball
95.9,-1.4,5.05,53.86,91.4,96.5,2290,6.6,Sinker
95.8,-1.2,5.22,53.83,100.6,95.4,2161,6.7,4-Seam Fastball
95.0,-1.4,5.12,54.1,94.8,94.7,2250,6.4,Sinker
96.3,-1.27,5.22,53.85,89.6,96.1,2258,6.6,Sinker
96.2,-1.2,5.25,53.82,69.2,96.5,2120,6.7,4-Seam Fastball
95.3,-1.57,5.02,53.93,104.5,94.1,2209,6.6,4-Seam Fastball
96.0,-1.44,5.14,53.78,77.4,96.1,2093,6.7,4-Seam Fastball
80.8,-1.6,5.07,53.91,71.7,80.9,2408,6.6,Sweeper
80.3,-1.38,5.06,53.85,67.7,79.9,2451,6.6,Sweeper
86.4,-1.36,5.26,54.03,97.2,86.0,1801,6.5,Changeup
94.2,-1.29,5.03,53.8,92.1,94.4,2174,6.7,Sinker
95.5,-1.16,5.19,53.89,87.2,95.6,2247,6.6,Sinker
89.0,-1.07,5.05,53.72,91.3,89.2,1911,6.8,Changeup
84.3,-1.47,5.01,53.93,82.4,84.5,2351,6.6,Sweeper
95.4,-1.09,5.23,53.74,68.9,96.1,2050,6.8,4-Seam Fastball
95.5,-1.15,5.19,53.98,82.5,95.5,2184,6.5,4-Seam Fastball
87.3,-1.35,5.07,53.89,90.8,88.0,2174,6.6,Slider
95.0,-0.93,5.23,53.77,64.1,95.6,2271,6.7,Sinker
94.9,-1.29,5.18,54.03,65.3,94.9,2233,6.5,4-Seam Fastball
94.2,-1.12,5.12,53.81,97.8,94.6,2281,6.7,Sinker
84.6,-1.4,5.07,53.79,76.0,84.8,2394,6.7,Sweeper
86.3,-1.36,5.13,53.89,69.7,86.8,2175,6.6,Slider
94.6,-1.33,5.09,54.02,65.9,94.5,2206,6.5,Sinker
94.4,-1.14,5.14,53.87,79.0,94.8,2284,6.6,4-Seam Fastball
88.1,-1.25,5.12,54.01,76.1,88.4,2176,6.5,Slider
95.1,-1.26,5.09,53.77,98.1,95.5,2106,6.7,4-Seam Fastball
95.3,-1.23,5.14,53.97,80.1,95.5,2201,6.5,4-Seam Fastball
86.6,-1.33,4.91,53.94,71.8,86.3,2384,6.6,Slider
90.6,-1.22,4.95,53.79,91.2,90.7,1661,6.7,Changeup
95.6,-1.38,5.02,53.89,72.3,95.6,2183,6.6,4-Seam Fastball
90.4,-1.42,4.91,53.85,65.3,90.7,1630,6.7,Changeup
95.5,-1.23,5.11,53.89,69.0,95.6,2181,6.6,4-Seam Fastball
88.4,-1.32,5.07,54.09,86.7,88.7,2126,6.4,Slider
95.3,-1.14,5.13,53.84,75.3,95.6,2146,6.7,4-Seam Fastball
89.5,-1.35,5.11,53.83,62.4,90.0,2172,6.7,Slider
96.5,-1.16,5.14,53.98,81.5,96.4,2110,6.5,4-Seam Fastball
95.5,-1.04,5.25,53.81,108.6,95.8,2181,6.7,Sinker
96.3,-1.13,5.24,54.07,83.1,95.9,2193,6.4,4-Seam Fastball
87.3,-1.4,5.04,53.87,76.4,87.5,2240,6.6,Slider
85.5,-1.41,4.93,53.8,66.7,85.5,2433,6.7,Sweeper
95.7,-1.29,5.19,53.97,63.0,95.6,2255,6.5,4-Seam Fastball
86.5,-1.43,5.09,53.99,75.0,86.9,2158,6.5,Slider
90.3,-1.21,5.14,53.75,73.9,90.8,1545,6.7,Changeup
95.5,-1.26,4.91,53.59,43.9,96.5,2173,6.9,4-Seam Fastball
96.0,-1.09,4.89,53.72,81.4,96.7,2207,6.8,4-Seam Fastball
89.7,-1.19,4.89,53.68,32.4,90.3,1826,6.8,Changeup
84.1,-1.37,4.77,53.74,86.2,84.6,2366,6.8,Sweeper
96.2,-1.27,4.83,53.8,86.3,96.4,2169,6.7,4-Seam Fastball
95.5,-1.23,5.11,54.12,77.2,94.8,2251,6.4,4-Seam Fastball
91.0,-1.41,5.01,53.75,60.5,91.8,2149,6.8,Slider
95.4,-1.31,4.86,53.82,82.7,95.8,2057,6.7,4-Seam Fastball
91.3,-1.25,4.88,53.72,76.1,92.0,1732,6.8,Changeup
83.7,-1.35,4.91,53.94,63.1,84.4,2448,6.6,Sweeper
95.1,-1.34,4.84,53.57,84.4,96.5,2236,6.9,Sinker
96.4,-1.28,5.01,53.69,91.8,97.5,2246,6.8,4-Seam Fastball
87.2,-1.22,5.11,54.19,86.3,87.1,2179,6.3,Slider
82.4,-1.38,4.97,54.04,84.2,83.0,2512,6.5,Sweeper
94.7,-1.06,5.16,53.97,79.7,94.7,2331,6.5,4-Seam Fastball
96.3,-1.14,5.01,53.83,104.8,96.8,2301,6.7,Sinker
96.8,-1.32,5.08,53.96,81.7,96.9,2288,6.5,4-Seam Fastball
95.4,-1.15,5.08,53.93,88.4,95.4,2195,6.6,4-Seam Fastball
96.1,-1.39,5.02,53.71,77.9,96.9,2072,6.8,4-Seam Fastball
90.2,-1.26,4.89,53.64,94.4,90.2,1766,6.9,Changeup
95.2,-1.09,4.93,53.93,65.6,95.5,2179,6.6,Sinker
88.2,-1.17,4.92,53.45,90.9,89.1,2845,7.1,Changeup
95.7,-1.28,5.11,53.61,94.4,96.3,2288,6.9,Sinker
95.3,-1.27,5.01,54.26,78.5,95.2,2155,6.2,4-Seam Fastball
86.8,-1.07,5.11,54.19,74.4,87.1,2135,6.3,Slider
95.7,-1.22,4.9,53.54,109.3,97.1,2284,7.0,Sinker
89.6,-1.19,4.86,53.88,74.6,90.3,1941,6.6,Changeup
95.1,-1.45,5.04,53.94,80.1,95.3,2191,6.6,4-Seam Fastball
96.1,-1.12,5.08,53.87,103.7,96.3,2403,6.6,4-Seam Fastball
96.5,-1.16,4.99,53.99,74.5,96.9,2210,6.5,4-Seam Fastball
81.6,-1.35,4.96,53.45,58.6,82.3,1572,7.1,Changeup
82.8,-1.31,5.2,54.09,67.9,82.5,2411,6.4,Sweeper
95.9,-1.27,5.09,53.78,120.4,96.2,2348,6.7,Sinker
96.0,-1.19,5.12,53.8,99.5,96.4,2233,6.7,4-Seam Fastball
95.9,-1.41,5.03,54.05,96.6,95.9,2285,6.5,4-Seam Fastball
90.3,-1.45,5.2,54.26,98.9,90.0,2277,6.2,Slider
95.9,-1.17,4.94,54.02,101.9,95.6,2082,6.5,4-Seam Fastball
96.5,-1.25,5.08,53.98,76.7,96.6,2180,6.5,4-Seam Fastball
96.1,-1.05,5.18,53.59,91.2,96.7,2268,6.9,Sinker
91.0,-1.47,5.07,53.96,77.2,91.0,1797,6.5,Changeup
94.9,-1.31,5.08,53.89,99.6,95.0,2366,6.6,Sinker
95.8,-1.27,5.16,53.99,76.1,95.9,2132,6.5,4-Seam Fastball
90.5,-1.43,5.08,53.4,102.5,91.6,1888,7.1,Changeup
95.9,-1.27,5.24,53.88,101.5,96.1,2236,6.6,4-Seam Fastball
89.9,-1.44,5.12,53.92,42.3,89.6,1856,6.6,Changeup
89.5,-1.24,5.05,53.63,72.9,89.8,1902,6.9,Changeup
88.8,-1.32,5.15,53.78,97.5,88.8,1899,6.7,Changeup
96.6,-1.16,5.12,53.82,82.5,96.7,2239,6.7,Sinker
96.8,-1.27,5.22,54.04,79.7,96.8,2154,6.5,4-Seam Fastball
90.6,-1.2,5.07,53.92,75.4,90.4,2023,6.6,Changeup
96.3,-1.12,5.16,54.12,80.4,95.9,2197,6.4,Sinker
95.4,-1.31,5.11,53.98,79.8,95.6,2316,6.5,Sinker
96.5,-1.5,5.01,53.91,82.3,96.6,2349,6.6,Sinker
96.4,-1.2,5.16,53.97,97.5,96.0,2287,6.5,Sinker
